W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST(ft),PTS_TYPE,CLOSE_DEF_DIST(ft)
L,-7,7,4,0,0,0.9,18.6,2,4.5
L,-6,8,3,1.6,0,0.9,23.2,3,1.3
L,-24,1,1,15,0,0.8,26.2,3,9.8
L,-6,1,1,10.8,2,1.8,12.9,2,7.7
W,8,5,2,12.3,0,0.6,19.2,2,4
W,12,9,2,24,8,8.6,22.1,2,1.5
W,7,11,2,22.3,0,1,24.2,3,7
L,-4,6,2,8.6,1,2.7,14.1,2,2.3
L,-7,3,1,8.1,0,0.6,18.2,2,4.6
W,5,11,3,5,0,0.7,26,3,5.3
W,7,4,1,0,3,2.6,30.6,3,3.2
L,-11,2,1,16.9,0,1.1,23,3,8
W,6,9,3,5.1,1,1.4,5.3,2,2.7
L,-7,1,2,2.4,1,1.4,27.3,3,4.2
W,9,7,2,8.6,3,5,3.9,2,0.5
W,2,6,2,24,0,1.1,2.6,2,4
W,1,3,1,1.4,3,2.6,24.7,3,2.7
L,-6,11,3,6.9,2,4,20.3,2,4.7
L,-8,3,2,13.3,1,2.4,10.2,2,3.1
L,-15,7,4,24,0,0,1.2,2,2.9
L,-12,3,2,2,2,3,22.5,2,4.3
L,-4,3,4,0.2,1,2,14.3,2,3.5
L,-2,5,4,5.7,2,2.7,3.4,2,3.1
L,-11,3,3,0.5,0,1.2,22.7,2,1
L,-11,4,3,11.7,0,0.6,24.6,3,4.8
W,13,5,2,13.2,0,0.7,24.9,3,5.3
W,1,2,1,10.7,17,13.4,14.7,2,2.9
L,-11,2,1,17.3,2,2.2,3,2,3.3
L,-4,18,4,6.5,0,0.8,25.4,3,5.7
L,-2,8,3,17.7,0,1.1,24.8,3,6.2
W,2,4,4,4,2,6.5,27.3,3,5.1
L,-11,3,2,21.2,1,1.4,4.6,2,2.2
W,12,8,2,17.4,0,0.8,24.3,3,4.8
W,1,4,4,5.8,1,1.2,4.5,2,1.6
W,11,3,1,16.3,0,0.9,24.2,3,4.4
W,6,14,3,1.4,0,0.6,26,3,5.1
L,-1,11,2,10.6,13,13.5,24.5,3,4
W,14,7,3,21.3,2,2.1,4.3,2,1.2
W,13,16,3,0.5,4,2.4,16.3,2,3.6
W,14,10,4,3,0,1,24.3,3,5
W,12,3,2,10.7,0,0.9,22.7,3,6.2
W,4,5,2,11.4,0,3.7,24.9,3,6.2
W,17,8,4,15.3,0,0.7,23.8,3,5.7
L,-7,3,2,9.2,1,7.6,6.9,2,2.5
W,4,2,1,11.3,1,2.3,6,2,1.9
W,9,9,4,0.2,0,0.4,25.2,3,13.5
L,-7,6,3,11.1,0,0.5,3.5,2,1.9
L,-16,5,2,2.6,0,0.6,22.3,3,4.1
L,-16,9,2,8.9,1,6,15.6,2,4.2
W,12,8,3,9.1,0,0.8,22.7,3,4.5
L,-6,9,3,8.7,3,4.6,9.8,2,2.4
L,-8,17,4,15,7,8.6,24.5,3,4.9
L,-2,1,1,15.4,5,5.1,14.8,2,2.5
L,-2,22,4,4.1,11,10.8,10.8,2,1.8
L,-18,1,2,3.2,0,0.9,25.7,3,4.5
L,-1,1,2,13.9,0,0.7,23.5,3,5.9
L,-17,4,2,16.7,0,0.5,2.8,2,4.1
L,-8,6,3,9.3,0,0.7,8.9,2,3.8
L,-17,3,1,12,0,1,16.5,2,3.7
W,12,1,1,19.6,1,1.4,12.2,2,2.6
W,12,6,4,4.5,2,2,17.4,2,4.8
L,-9,7,4,15.6,2,2.6,20.4,2,5.9
L,-5,1,2,2.2,3,4,20.8,2,3.3
W,12,13,3,0.6,0,0.7,24.2,3,6.4
W,8,6,2,2.5,0,0.7,25.5,3,5.6
L,-12,9,3,11.1,14,13.1,16.5,2,3.9
W,21,9,2,1.7,1,1.6,30,3,5.3
W,7,6,1,0,4,2.9,32.2,3,2.6
L,-5,8,3,0,1,1.2,39.1,3,8.3
L,-25,17,4,12.4,0,2.6,20.6,2,5.1
L,-23,4,1,18,0,1.1,22.8,3,6
W,21,10,2,8.2,3,4,3.7,2,0.5
L,-9,7,3,12,1,1.8,11.5,2,1.4
L,-5,22,4,11.7,1,5.3,17.3,2,3.6
L,-8,13,3,6.1,2,3.4,7,2,0
W,2,15,4,9,7,5.9,10.8,2,2.7
W,2,20,6,8.6,3,4,14.5,2,1.4
W,6,1,2,10.9,1,1.4,6.5,2,1.6
W,1,2,2,12.9,5,4.5,12.3,2,4
L,-11,1,1,0,17,21.5,20.2,2,4.6
W,9,10,4,15.1,0,0.8,24.6,3,5.5
L,-17,6,2,9.9,15,14.1,3.9,2,0
W,7,5,4,1.4,3,2.9,11.1,2,2.2
L,-3,10,2,17.8,7,7.2,14.6,2,3.6
L,-4,14,2,0,9,6,24.6,3,1
W,11,6,1,17,7,6.1,18.5,2,4.3
L,-11,7,1,19.7,6,4.7,15.1,2,2
W,2,27,5,9.7,14,14.2,16.6,2,3.7
L,-2,15,3,16,8,7.4,3.2,2,3.1
L,-5,2,1,19.5,4,3.6,7.7,2,0.8
L,-17,14,3,4.7,4,5.3,17.1,2,5.1
L,-3,1,1,10.6,0,1.1,25.6,3,7.2
W,15,2,1,10,3,2.6,9.6,2,3.9
W,1,8,4,14.6,0,0.5,4,2,2
W,27,5,2,0,0,0,4.3,2,4.1
L,-23,10,3,3.7,3,5,15.2,2,1.4
L,-2,8,4,7,3,3.6,26.2,3,5.7
L,-7,2,1,19.5,1,1.5,3.8,2,1.6
W,6,7,2,18.2,0,0.8,23.2,3,5.6
L,-2,4,2,4.4,3,5.6,20,2,3.7
L,-16,1,1,14,0,1.2,25,3,4.2
L,-16,5,2,10.2,3,5.3,10.1,2,2.7
W,5,2,2,16,1,1.1,26.9,3,6.3
L,-9,5,2,21.7,0,0.9,25,3,6.7
L,-14,6,2,17.4,3,3,6.9,2,2.6
L,-12,6,1,24,0,1.1,1.2,2,3.3
L,-7,19,4,6.7,6,3.1,6.2,2,1.9
W,7,9,2,10.6,0,0.9,21.7,2,5.1
W,2,8,5,6.3,0,0.8,24.3,3,5.9
W,4,7,3,0.7,0,0.7,24.1,2,15.5
W,3,1,1,7.7,0,2.1,16.3,2,3.9
L,-20,10,3,7.9,1,2.5,12.9,2,3
W,11,14,4,15.6,10,8.8,18.7,2,3.2
L,-9,13,4,11.6,1,4.1,10.8,2,3.7
L,-12,4,2,1.8,4,5.3,8.3,2,1.5
W,16,10,3,6.6,4,2.9,22.5,2,4.8
W,7,1,2,24,0,0.9,3.3,2,2.6
W,15,10,4,8.3,0,1.2,23.8,3,6.3
L,-12,7,4,11.1,16,13.4,6.2,2,1.9
W,20,10,4,1.3,13,9,3.2,2,5.3
W,7,8,4,20.7,4,4,23.9,3,2.8
W,7,5,2,0,0,0.1,2.3,2,1
W,5,6,4,7.4,3,2.9,6.3,2,3.2
W,17,7,4,0,20,16.3,23.3,3,5.8
W,11,8,4,16.4,1,1.9,24.7,3,4.9
W,5,7,3,13.9,1,1.6,22.5,2,10.3
W,4,13,4,17.4,0,1,24.7,3,7.2
W,2,5,4,8.3,0,0.7,22.8,3,4.9
W,4,4,1,23.2,0,-0.4,21.9,2,5.2
W,10,2,1,10.1,2,4.4,5.6,2,1.7
W,10,6,1,12.7,0,1,20.5,2,11.2
W,6,3,1,16.3,0,0.8,19.2,2,6.1
W,2,13,3,16.3,0,0.8,21.7,2,7.5
W,16,6,2,15.3,8,7.8,4,2,2.7
W,6,7,2,18.7,6,4.7,22.5,2,4.3
L,-3,2,1,11.8,4,2.8,15.8,2,4.5
W,1,2,1,14.6,3,2.6,10.2,2,0.4
L,-14,1,1,13.8,0,2.8,20.3,2,4.2
L,-8,7,3,7.6,1,4.8,16.4,2,3.9
L,-12,5,3,5.8,0,4,3.2,2,2.6
L,-12,1,1,12,1,1.7,9.4,2,4.2
L,-11,6,2,18.7,0,0.9,24.7,3,4.4
L,-8,4,2,20.9,0,0.3,2.7,2,4
W,8,1,1,14.2,0,0.8,19.3,2,6.8
L,-22,11,4,17,4,5.2,2.8,2,0.1
L,-48,3,2,23.2,1,1.7,3,2,3.3
L,-12,9,3,1.5,0,0.9,22.1,3,6.5
L,-16,1,1,10.1,3,3.1,4.7,2,1.2
L,-17,5,3,20,1,1.8,7.9,2,2.2
L,-16,13,4,2.6,3,4.6,8.8,2,0.5
W,12,3,1,10,0,0.8,21.9,2,5.6
L,-12,17,4,10.3,1,2.3,6.3,2,2.7
